'April 3, 2018';'Michelle Jung Jie';"'I hate gojek's gps.. Always give me the wrong location of the drivers..please fix your gps.. The drivers are not using the ""tuyul"" its yours gps really have problem..grab gps always right..'";;;;
'April 12, 2018';'Reza Anggara';'Your recent update has made the app need me to re-register my account, and I've tried several times without any luck to do it FOR THE WHOLE DAY. Long-waited sms code submitted, loading, and another 30 mins suspended due to multi-times login. So good bye, Gojek. I'll move to GRAB!';;;;
'April 10, 2018';'Randy Hartono';'Overall is a good services with a Bug inside the application. It's the cancelation things by the system not the driver. If I connected GoJek to my Facebook Account they ask my friend list and contact and I refused to do.';;;;
'April 11, 2018';'Galuh Adamori';'Top up saldo gopay, tidak masuk masuk (transaksi via atm). Komplain via email slow response. Via telpon, CS sibuk terus (jadi termakan pulsa saja). Terima kasih.';;;;
'April 13, 2018';'Emma Maulida';'Was so good until they updated it and instead of fixing bugs, now it has even MORE bugs. The app is getting slower than ever no matter how fast my internet is, and there's always an error so I can't track where my driver is. You guys should fix this and I'll give back the four stars.';;;;
'April 11, 2018';'indri handayani';'Every time complain with GOJEK always NOT RESPOND! I don't understand how you give happy customer, but your team always no give problem resolve for everything issue on your application!';;;;
'April 15, 2018';'ROMAN Fuerer';'The app needs a lot of improvement. I have only used it as a tourist in Bali. Restaurants are being out of stock etc. Drivers not having enough money to pay for the orders. Drivers are taking too long. The concept is great.';;;;
'April 10, 2018';'Amrit Cado van der Lely';'Twice now the app has screwed up an order. Once with go car and once with go food. With go car I got two drivers to pick me up. And with go good I got two drivers to get food for me...... why did you release such a buggy update....?';;;;
'April 6, 2018';'Brin Z';'I update the new version, and it doesn't work. Error at the time when i need it the most! I'm dissapointed! Please fix it immediately Go-jek.';;;;
'April 5, 2018';'dnssvlr';'an okay app, but really horrible sometimes. first there's always an error with my map, it doesn't tell the location accurately, especially when i'm using gofood. and now it doesn't even let me order, it keeps on saying 'booking failed'. i uninstalled and reinstalled the app yet it still has this pro...;;;;
'April 5, 2018';'Monic Divine';"'It would be great if I could choose more than one option on the ""what went wrong?"" section where users are giving feedback to the drivers. Sometimes not only the drivers lack professionality but also hygiene, but users can only choose one option.'";;;;
'April 11, 2018';'Ariyanto Ariyanto';'For go car, it would be better if we can choose 7-seater or 4-seater. Since i knew the cancelation will affect the driver performance, i feel regret on it. But situation force me to raise new order until find suitable car';;;;
'April 12, 2018';'ratna mutiarini';'I don't whats happen but after I updated my app, I couldn't make an order. It would be error everytime I tried to make an order.';;;;
'April 12, 2018';'Edy Khim';'Makin mnurun rating,udah makin mahal mlah ga da jam sibuk tiba2 harga mlambung slangit.aplikasi udh mkin error bukan diperbaiki mlh dibiarin gps udh disetting high jg ga skurat pantes harga jd mahal.harga ojek pangkalan sama gojek cm slisih 3000,udh itu gojek skrg kebykan jd pd males narik jauh.';;;;
