date,tweets,periode,person
2014-10-12,"Keren . Bisa mesen 1 ga ""@KadekSujana08 : #BaliTolakReklamasi karya : @AgusKunic @ForBALI13 @gendovara @JRX_SID @",periode_3,gendovara
2014-10-08,"@kurawa  baca ini ya ""@RzqAngga : .@SBYudhoyono Parno Melihat Baliho #BaliTolakReklamasi by @gendovara - Chirpstory",periode_3,gendovara
2014-10-07,"Met ultah jg ya ""@Tonio_Ariandro : @jrx_sid @addiems @gendovara Saya Juga Ultah Hari Ini Bli :D #BaliTolakReklamasi """,periode_3,gendovara
2014-10-07,"""@OSD_KARANGASEM : @gendovara HBD Pak Yan Semoga Tambah Panjang Umur n Selalu Dalam Lindungan Tuhan Yang Maha Esa .Tetap #BaliTolakReklamasi",periode_3,gendovara
2014-10-07,"Trims yas ""@sarasdewi : Dirgahayu Bli ... @gendovara ^.^  #BaliTolakReklamasi """,periode_3,gendovara
2014-10-07,"Pasti dan selalu !;""@Aji_TheBilly : HBD @gendovara , semoga masih konsisten dan enggan diimingi jabatan :) #BaliTolakReklamasi """,periode_3,gendovara
2014-10-07,"Mboknjegeg . Trims ""@mariaekaristi : @gendovara HBD Bro . Terus maju #BaliTolakReklamasi """,periode_3,gendovara
2014-10-07,"Trims sobat terkerenku ""@DBogsRidwan : HBD bro @gendovara , Dirgahayu ! #BaliTolakReklamasi """,periode_3,gendovara
2014-10-07,"#tolakReklamasiTelukBenoa ""@Vannpostman : slamat ulang tahun om @gendovara keep struggle #BaliTolakReklamasi """,periode_3,gendovara
2014-10-07,"""@Rotbirbilly : Beerthday @gendovara semoga sehat selalu tetap menginjak bumi dan menyuarakan #BaliTolakReklamasi """,periode_3,gendovara
2014-10-07,"#tolakReklamasiTelukBenoa ""@pran_nature : Rahajeng wanti warsa pak wayan @gendovara #BaliTolakReklamasi """,periode_3,gendovara
2014-10-07,"Thx ""@UsamBinZed : Selamat Ulang Tahun om @gendovara panjang umur sehat selalu ,tetap semangat komando kan #BaliTolakReklamasi ,salam !""",periode_3,gendovara
2014-10-07,"Siap brother ""@agustinuspoltak : HBD @gendovara #BaliTolakReklamasi """,periode_3,gendovara
2014-10-06,"Cc @jokowi_do2 ""@inyomen : bedugul jg #balitolakreklamasi , pemasangnya berdoa agar bali lolos dr investor rakus",periode_3,gendovara
2014-10-03,"Cc @jokowi_do2 ""@POISON_AND_ROSE : Baliho @poison_and_rose #balitolakreklamasi siap berdiri tegak malam ini",periode_3,gendovara
2014-09-22,"Cc @jokowi_do2 ""@BDG_IRman : Cc : @JRX_SID @8rianna_ ""@voldytalkabout From segara anak for #BaliTolakReklamasi",periode_3,gendovara
2014-09-21,"Brotha thx lu supoort ya . Ga nyangka ""@sinungkarto : @gendovara ini yg tersisa dari #CFD #Jkt krmn
#BaliTolakReklamasi",periode_3,gendovara
2014-09-21,"Cc @jokowi_do2 ""@Randi_OSD : #BaliTolakReklamasi dari jakarta untuk bali !! :) @ForBALI13 @JRX_SID @sarasdewi  :)))",periode_3,gendovara
2014-09-21,"Cc @jokowi_do2 ""@outsider_bukit : Labuan sait desa pecatu #Bergerak ! #balitolakreklamasi . Cc @ForBALI13 @SID_Official",periode_3,gendovara
2014-09-20,"Cc @jokowi_do2 ""@DjaluDp_: ""@ivonalifu : #BaliTolakReklamasi @ForBALI13 @gendovara @sarasdewi @JRX_SID",periode_3,gendovara
2014-09-20,"Cc @jokowi_do2 ""@ivonalifu : #BaliTolakReklamasi @ForBALI13 @gendovara @sarasdewi @JRX_SID",periode_3,gendovara
2014-09-17,"Cc @jokowi_do2 ""@Poppies_Jember : Dari Jember U / Bali #balitolakreklamasi @JRX_SID @ForBALI13 @baliekarock @8rianna_",periode_3,gendovara
2014-09-17,"Thx supportnya sista ""@melaniesubono : Ngamenan donasi #BaliTolakReklamasi masih jalan @JRX_SID @ForBALI13",periode_3,gendovara
